source,target,call_count,caller_source,callee_source,mode
phase1_scanner,Console,1,project,external,static
phase1_scanner,Path,1,project,external,static
phase1_scanner,OUTPUT_DIR.mkdir,1,project,external,static
phase1_scanner,d.mkdir,1,project,external,static
phase1_scanner.Phase1Scanner._get_fqn,join,1,project,external,static
phase1_scanner.Phase1Scanner._is_package,exists,1,project,external,static
phase1_scanner.Phase1Scanner._get_relative_path,str,3,project,external,static
phase1_scanner.Phase1Scanner._get_relative_path,file_path.relative_to,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,open,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,f.read,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,ast.parse,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,str,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,console.print,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,self._get_fqn,5,project,external,static
phase1_scanner.Phase1Scanner._parse_file,result.append,4,project,external,static
phase1_scanner.Phase1Scanner._parse_file,self._get_relative_path,4,project,external,static
phase1_scanner.Phase1Scanner.FunctionCollector.visit_ClassDef,self.generic_visit,1,external,external,static
phase1_scanner.Phase1Scanner.FunctionCollector.visit_FunctionDef,append,1,external,external,static
phase1_scanner.Phase1Scanner.FunctionCollector.visit_FunctionDef,self.generic_visit,1,external,external,static
phase1_scanner.Phase1Scanner.FunctionCollector.visit_AsyncFunctionDef,append,1,external,external,static
phase1_scanner.Phase1Scanner.FunctionCollector.visit_AsyncFunctionDef,self.generic_visit,1,external,external,static
phase1_scanner.Phase1Scanner._parse_file,FunctionCollector,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,collector.visit,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,class_defs.items,1,project,external,static
phase1_scanner.Phase1Scanner._parse_file,isinstance,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,resolve,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,Path,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,is_dir,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,list,3,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,rglob,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,console.print,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,set,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,self._is_package,3,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,package_dirs.add,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,sorted,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,pkg_dir.relative_to,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,self._get_fqn,2,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,len,3,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,append,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,str,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,Progress,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,SpinnerColumn,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,TextColumn,2,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,BarColumn,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,progress.add_task,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,progress.update,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,file_path.relative_to,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,package_parts.append,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,self._parse_file,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,extend,1,project,external,static
phase1_scanner.Phase1Scanner.scan_directory,progress.advance,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,console.print,3,project,external,static
phase1_scanner.Phase1Scanner.display_tree,Tree,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,ent.get,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,append,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,nodes_by_parent.get,1,project,external,static
phase1_scanner.Phase1Scanner.add_to_tree,nodes_by_parent.get,1,external,external,static
phase1_scanner.Phase1Scanner.add_to_tree,get,2,external,external,static
phase1_scanner.Phase1Scanner.add_to_tree,parent_tree.add,1,external,external,static
phase1_scanner.Phase1Scanner.add_to_tree,add_to_tree,1,external,external,static
phase1_scanner.Phase1Scanner.display_tree,get,2,project,external,static
phase1_scanner.Phase1Scanner.display_tree,tree.add,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,add_to_tree,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,Table,1,project,external,static
phase1_scanner.Phase1Scanner.display_tree,table.add_column,2,project,external,static
phase1_scanner.Phase1Scanner.display_tree,table.add_row,6,project,external,static
phase1_scanner.Phase1Scanner.display_tree,str,5,project,external,static
phase1_scanner.Phase1Scanner.export_json,output_file.exists,1,project,external,static
phase1_scanner.Phase1Scanner.export_json,Confirm.ask,1,project,external,static
phase1_scanner.Phase1Scanner.export_json,console.print,3,project,external,static
phase1_scanner.Phase1Scanner.export_json,str,1,project,external,static
phase1_scanner.Phase1Scanner.export_json,open,1,project,external,static
phase1_scanner.Phase1Scanner.export_json,json.dump,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,output_file.exists,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,Confirm.ask,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,console.print,3,project,external,static
phase1_scanner.Phase1Scanner.export_xml,ET.Element,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,root.set,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,str,3,project,external,static
phase1_scanner.Phase1Scanner.export_xml,ET.SubElement,5,project,external,static
phase1_scanner.Phase1Scanner.export_xml,items,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,ent.items,1,project,external,static
phase1_scanner.Phase1Scanner.export_xml,ET.tostring,1,project,external,static
